"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"1","JC",1215,-1815.29560051137,6060.59120102274,8.34055437697845e-59,NA,NA,11106.1614250882
"2","JC+G",1216,-1775.03026062189,5982.06052124378,9.41706053525122e-42,NA,NA,11031.783478004
"3","F81",1218,-1809.99863832387,6055.99727664774,8.29378783309124e-58,NA,NA,11114.0256987973
"4","F81+G",1219,-1770.02735114712,5978.05470229425,6.9785933911698e-41,NA,NA,11040.2358571385
"5","K80",1216,-1723.90815379827,5879.81630759654,1.49956142130506e-19,NA,NA,10929.5392643567
"6","K80+G",1217,-1683.63637116572,5801.27274233144,0.0170405163676215,NA,NA,10855.1484317863
"7","HKY",1219,-1719.10960558585,5876.2192111717,9.0586571531867e-19,NA,NA,10938.400366016
"8","HKY+G",1220,-1679.08807469536,5798.17614939071,0.0801492318071977,NA,NA,10864.5100369297
"9","SYM",1220,-1718.93530085779,5877.87060171559,3.96706140370123e-19,NA,NA,10944.2044892546
"10","SYM+G",1221,-1679.03340765961,5800.06681531923,0.0311419981281716,NA,NA,10870.5534355529
"11","GTR",1223,-1712.55832148475,5871.11664296949,1.16164233180716e-17,NA,NA,10949.9087285926
"12","GTR+G",1224,-1672.70155608141,5793.40311216282,0.871668253697009,NA,NA,10876.3479304806
